Date,Time,Open,High,Low,Close,Volume
2025-04-22,19:00,3381.4,3385.8,3380.76,3381.59,8731
2025-04-22,19:15,3381.6,3384.27,3375.36,3375.36,10200
2025-04-22,19:30,3375.34,3377.08,3366.73,3374.77,10977
2025-04-22,19:45,3374.77,3377.84,3369.73,3374.7,9448
2025-04-22,20:00,3374.69,3382.26,3373.19,3382.1,6122
2025-04-22,20:15,3382.11,3382.65,3379.43,3381.3,3828
2025-04-22,20:30,3381.3,3381.71,3376.69,3379.75,3450
2025-04-22,20:45,3379.79,3382.57,3377.16,3380.85,3412
2025-04-22,22:00,3354.1,3354.16,3313.1,3335.08,7022
2025-04-22,22:15,3335.14,3336.28,3318.86,3318.86,4015
2025-04-22,22:30,3318.56,3333.21,3315.21,3332.13,4122
2025-04-22,22:45,3332.22,3334.08,3323.17,3327.73,3934
2025-04-22,23:00,3327.74,3341.26,3326.71,3340.87,5648
2025-04-22,23:15,3340.89,3349.9,3337.97,3339.56,7767
2025-04-22,23:30,3339.56,3341.54,3332.7,3338.04,6004
2025-04-22,23:45,3338.03,3340.88,3331.97,3336.5,8375
2025-04-23,00:00,3336.48,3342.93,3334.48,3342.93,9291
2025-04-23,00:15,3342.92,3352.69,3338.8,3350.72,8830
2025-04-23,00:30,3350.68,3358.12,3350.43,3356.96,8278
2025-04-23,00:45,3356.96,3371.09,3356.21,3367.76,11480
2025-04-23,01:00,3367.75,3380.54,3360.34,3371.51,24136
2025-04-23,01:15,3371.51,3377.24,3366.36,3368.28,15154
2025-04-23,01:30,3368.3,3386.11,3358.84,3385.73,17971
2025-04-23,01:45,3385.74,3386.51,3377.6,3379.07,14968
2025-04-23,02:00,3379.08,3379.84,3371.09,3372.19,9948
2025-04-23,02:15,3372.19,3373.51,3368.69,3373.23,5042
2025-04-23,02:30,3373.19,3375.12,3357.73,3362.43,13679
2025-04-23,02:45,3362.43,3363.75,3348.44,3354.11,18290
2025-04-23,03:00,3354.12,3355.63,3329.14,3336.25,19380
2025-04-23,03:15,3336.24,3341.11,3330.91,3335.13,16784
2025-04-23,03:30,3335.12,3344.71,3335.12,3344.7,7482
2025-04-23,03:45,3344.71,3346.72,3335.74,3338.88,9227
2025-04-23,04:00,3338.89,3343.12,3337.4,3340.15,4945
2025-04-23,04:15,3340.13,3343.0,3335.56,3339.39,4282
2025-04-23,04:30,3339.38,3345.42,3338.02,3345.03,4466
2025-04-23,04:45,3345.06,3347.07,3342.62,3346.62,5004
2025-04-23,05:00,3346.62,3347.59,3342.03,3346.53,4974
2025-04-23,05:15,3346.53,3349.33,3336.12,3338.85,6126
2025-04-23,05:30,3338.84,3342.62,3318.85,3325.63,19794
2025-04-23,05:45,3325.62,3326.21,3315.87,3318.99,14992
2025-04-23,06:00,3318.99,3320.95,3307.8,3316.46,25366
2025-04-23,06:15,3316.45,3325.88,3314.28,3322.26,19671
2025-04-23,06:30,3322.27,3322.89,3312.57,3312.74,16442
2025-04-23,06:45,3312.72,3317.87,3291.64,3301.05,23237
2025-04-23,07:00,3301.1,3312.7,3301.1,3307.67,14037
2025-04-23,07:15,3307.65,3310.95,3303.16,3309.0,12799
2025-04-23,07:30,3308.98,3318.61,3307.52,3318.22,11879
2025-04-23,07:45,3318.22,3320.49,3313.3,3319.2,9203
2025-04-23,08:00,3319.25,3319.45,3305.37,3306.46,11423
2025-04-23,08:15,3306.49,3316.81,3305.98,3315.75,11040
2025-04-23,08:30,3315.76,3318.99,3314.33,3317.34,7038
2025-04-23,08:45,3317.34,3321.51,3316.97,3321.5,5136
2025-04-23,09:00,3321.5,3332.74,3320.18,3331.77,11240
2025-04-23,09:15,3331.77,3340.47,3329.49,3335.65,9292
2025-04-23,09:30,3335.7,3337.76,3328.76,3331.48,7872
2025-04-23,09:45,3331.49,3331.49,3317.22,3317.61,8244
2025-04-23,10:00,3317.58,3330.47,3316.68,3328.62,7556
2025-04-23,10:15,3328.65,3334.61,3325.74,3334.17,6968
2025-04-23,10:30,3334.19,3336.3,3327.47,3330.05,7881
2025-04-23,10:45,3330.05,3332.23,3325.38,3329.97,7132
2025-04-23,11:00,3329.99,3332.18,3321.64,3331.43,8080
2025-04-23,11:15,3331.44,3339.12,3330.54,3336.09,9528
2025-04-23,11:30,3336.08,3337.12,3332.37,3334.31,6338
2025-04-23,11:45,3334.37,3334.6,3322.14,3324.58,8592
2025-04-23,12:00,3324.63,3325.66,3313.76,3317.85,14930
2025-04-23,12:15,3317.85,3333.32,3315.42,3329.48,15455
2025-04-23,12:30,3329.48,3329.48,3317.76,3319.96,15911
2025-04-23,12:45,3319.95,3320.46,3310.55,3310.75,14158
2025-04-23,13:00,3310.75,3313.65,3304.64,3305.74,22852
